,foundation_name,link,Brand,price,colors,rank
34,Peach Perfect Comfort Matte Foundation – Peaches and Cream Collection,https://www.sephora.com/product/peach-perfect-comfort-moisture-matte-foundation-peaches-cream-collection-P422601?icid2=products,Too Faced,$36.00,19 more colors,width:86.272%
35,BarePRO™ Performance Wear Liquid Foundation Broad Spectrum SPF 20,https://www.sephora.com/product/barepro-performance-wear-liquid-foundation-broad-spectrum-spf-20-P421001?icid2=products,bareMinerals,$34.00,29 more colors,width:85.82000000000001%
36,Bounce™ Liquid Whip Long Wear Foundation,https://www.sephora.com/product/bounce-liquid-whip-longwear-foundation-P433987?icid2=products,beautyblender,$40.00,39 more colors,width:78.04599999999999%
37,Matte Velvet Skin Full Coverage Foundation,https://www.sephora.com/product/matte-velvet-skin-full-coverage-foundation-P434023?icid2=products,MAKE UP FOR EVER,$38.00,39 more colors,width:73.134%
38,Ultra HD Invisible Cover Stick Foundation,https://www.sephora.com/product/ultra-hd-invisible-cover-stick-foundation-P398775?icid2=products,MAKE UP FOR EVER,$43.00,19 more colors,width:80.63%
39,Re(marc)able Full Cover Foundation Concentrate,https://www.sephora.com/product/re-marc-able-full-coverage-foundation-concentrate-P398803?icid2=products,Marc Jacobs Beauty,$55.00,21 more colors,width:74.768%
40,Premium Beauty Balm SPF 45,https://www.sephora.com/product/premium-beauty-balm-spf-45-P285403?icid2=products,Dr. Jart+,$39.00,2 more colors,width:84.85799999999999%
41,All Day Luminous Weightless Foundation,https://www.sephora.com/product/all-day-luminous-weightless-foundation-P393658?icid2=products,NARS,$49.00,19 more colors,width:70.56%
42,All Hours Longwear Natural Matte Foundation,https://www.sephora.com/product/all-hours-full-coverage-matte-foundation-P421456?icid2=products,Yves Saint Laurent,$54.00,32 more colors,width:84.95799999999998%
43,Pressed Mineral Foundation,https://www.sephora.com/product/pressed-mineral-foundation-P376287?icid2=products,COVER FX,$38.00,38 more colors,width:82.202%
44,Your Skin But Better™ CC+Illumination™ Cream with SPF 50+,https://www.sephora.com/product/your-skin-but-better-cc-illumination-cream-spf-50-P411884?icid2=products,IT Cosmetics,$38.00,11 more colors,width:76.61800000000001%
45,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,https://www.sephora.com/product/bb-tinted-treatment-12-hour-primer-broad-spectrum-spf-30-sunscreen-P377542?icid2=products,tarte,$14.00 - $37.00,4 more colors,width:85.38399999999999%
46,Total Cover Cream Foundation,https://www.sephora.com/product/total-cover-cream-foundation-P376285?icid2=products,COVER FX,$42.00,39 more colors,width:80.094%
47,Diorskin Forever Undercover Foundation,https://www.sephora.com/product/diorskin-forever-undercover-foundation-P427506?icid2=products,Dior,$52.00,24 more colors,width:81.14800000000001%
48,Power Fabric Longwear High Cover Foundation SPF 25,https://www.sephora.com/product/power-fabric-longwear-high-cover-foundation-spf-25-P416785?icid2=products,Giorgio Armani Beauty,$64.00,19 more colors,width:82.98400000000001%
49,DUAL FINISH – Multi-tasking Longwear Powder Foundation,https://www.sephora.com/product/dual-finish-multi-tasking-longwear-powder-foundation-P54419?icid2=products,Lancôme,$40.00,31 more colors,width:87.21%
50,Flawless Fusion Ultra-Longwear Foundation,https://www.sephora.com/product/flawless-fusion-ultra-longwear-foundation-P421280?icid2=products,Laura Mercier,$48.00,29 more colors,width:81.806%
51,Tinted Moisturizer SPF 20 - Illuminating,https://www.sephora.com/product/tinted-moisturizer-spf-20-illuminating-P214216?icid2=products,Laura Mercier,$46.00,3 more colors,width:87.79199999999999%
52,Skin Foundation SPF 15,https://www.sephora.com/product/skin-foundation-spf-15-P270551?icid2=products,Bobbi Brown,$50.00,29 more colors,width:81.51400000000001%
53,Pro Finish Multi-Use Powder Foundation,https://www.sephora.com/product/pro-finish-multi-use-powder-foundation-P377189?icid2=products,MAKE UP FOR EVER,$37.00,5 more colors,width:81.368%
54,Beyond Perfecting Foundation + Concealer,https://www.sephora.com/product/beyond-perfecting-foundation-concealer-P393325?icid2=products,CLINIQUE,$29.00,26 more colors,width:74.804%
55,Amazonian Clay Full Coverage Airbrush Foundation,https://www.sephora.com/product/amazonian-clay-airbrush-foundation-P380829?icid2=products,tarte,$36.00,11 more colors,width:82.99%
56,All Nighter Liquid Foundation,https://www.sephora.com/product/all-nighter-liquid-foundation-P410548?icid2=products,Urban Decay,$40.00,22 more colors,width:67.996%
57,MicroSmooth Baked Foundation Face Powder,https://www.sephora.com/product/baked-foundation-face-powder-P310719?icid2=products,SEPHORA COLLECTION,$22.00,7 more colors,width:87.29599999999999%
58,Power Play Foundation,https://www.sephora.com/product/power-play-foundation-P429425?icid2=products,COVER FX,$44.00,39 more colors,width:82.59%
59,Your Skin But Better™ CC+ Airbrush Perfecting Powder™ with SPF 50+,https://www.sephora.com/product/your-skin-but-better-cc-airbrush-perfecting-powder-spf-50-P411889?icid2=products,IT Cosmetics,$35.00,6 more colors,width:71.52999999999999%
60,Immaculate® Liquid Powder Foundation Mattifying Oil Free,https://www.sephora.com/product/immaculate-liquid-powder-foundation-mattifying-oil-free-P301802?icid2=products,Hourglass,$56.00,21 more colors,width:79.512%
61,Stay-Matte Sheer Pressed Powder,https://www.sephora.com/product/stay-matte-sheer-pressed-powder-P122748?icid2=products,CLINIQUE,$27.00,14 more colors,width:86.99799999999999%
62,TOUCHE ECLAT LE TEINT Radiance Awakening Foundation SPF 22,https://www.sephora.com/product/touche-eclat-le-teint-radiance-awakening-foundation-spf-22-P405083?icid2=products,Yves Saint Laurent,$54.00,21 more colors,width:74.566%
63,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,https://www.sephora.com/product/amazonian-clay-bb-tinted-moisturizer-broad-spectrum-spf-20-sunscreen-P67617?icid2=products,tarte,$36.00,5 more colors,width:85.014%
64,Bye Bye Redness™ Neutralizing Correcting Cream,https://www.sephora.com/product/bye-bye-redness-neutralizing-correcting-cream-P411393?icid2=products,IT Cosmetics,$32.00,2 more colors,width:83.94600000000001%
65,Wanderlust Powder Foundation,https://www.sephora.com/product/wanderlust-powder-foundation-P411529?icid2=products,Wander Beauty,$40.00,4 more colors,width:83.314%
66,CC Cream Daily Correct Broad Spectrum SPF 35+ Sunscreen,https://www.sephora.com/product/cc-cream-daily-correct-broad-spectrum-spf-35-sunscreen-P386793?icid2=products,Supergoop!,$34.00,3 more colors,width:86.944%
67,Blemish Rescue Skin-Clearing Loose Powder Foundation – For Acne Prone Skin,https://www.sephora.com/product/blemish-rescue-skin-clearing-loose-powder-foundation-P432867?icid2=products,bareMinerals,$29.00,19 more colors,width:86.524%
