,foundation_name,link,Brand,price,colors,rank
152,Experience Barepro Liquid Foundation Kit,https://www.sephora.com/product/experience-barepro-liquid-foundation-kit-P433988?icid2=products,bareMinerals,$39.00,,width:76.666%
153,Veil Fluid Makeup Oil Free Broad Spectrum SPF 15,https://www.sephora.com/product/veil-fluid-makeup-oil-free-broad-spectrum-spf-15-P193231?icid2=products,Hourglass,$60.00,10 more colors,width:81.442%
154,Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15,https://www.sephora.com/product/double-wear-maximum-cover-P392603?icid2=products,Estée Lauder,$42.00,7 more colors,width:80.44600000000001%
155,Rōsilliance™ Organic BB+ Cream SPF 30,https://www.sephora.com/product/rosilliance-organic-bb-cream-spf-30-P409519?icid2=products,COOLA,$52.00,2 more colors,width:76.74000000000001%
156,Custom Cover Drops,https://www.sephora.com/product/custom-cover-drops-P394579?icid2=products,COVER FX,$44.00,24 more colors,width:75.20800000000001%
157,Teint Couture Long-Wearing Fluid Foundation Broad Spectrum SPF 20,https://www.sephora.com/product/teint-couture-long-wearing-fluid-foundation-broad-spectrum-spf-20-P381810?icid2=products,Givenchy,$51.00,9 more colors,width:89.354%
158,Bienfait Teinté Beauty Balm Sunscreen Broad Spectrum SPF 30,https://www.sephora.com/product/bienfait-teinte-beauty-balm-sunscreen-broad-spectrum-spf-30-P380690?icid2=products,Lancôme,$47.00 - $49.00,3 more colors,width:84.73200000000001%
159,Lingerie de Peau BB Cream,https://www.sephora.com/product/lingerie-de-peau-bb-cream-spf-30-P382310?icid2=products,Guerlain,$54.00,2 more colors,width:85.99%
160,Renewed Hope in a Jar Skin Tint,https://www.sephora.com/product/renewed-hope-in-jar-skin-tint-P417009?icid2=products,philosophy,$39.00,7 more colors,width:81.65599999999999%
161,Matte Perfection Foundation,https://www.sephora.com/product/matte-perfection-foundation-P439400?icid2=products,SEPHORA COLLECTION,$20.00,21 more colors,width:80%
162,Superbalanced Silk Makeup Broad Spectrum 15,https://www.sephora.com/product/superbalanced-silk-makeup-broad-spectrum-15-P411552?icid2=products,CLINIQUE,$27.00,19 more colors,width:78.324%
163,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,https://www.sephora.com/product/matissime-velvet-radiant-mattifying-fluid-foundation-spf-20-P419438?icid2=products,Givenchy,$54.00,11 more colors,width:84.634%
164,BB Cushion Pore Blur,https://www.sephora.com/product/bb-cushion-pore-blur-P420658?icid2=products,LANEIGE,$38.00,5 more colors,width:77.10600000000001%
165,Waterproof Foundation & Concealer,https://www.sephora.com/product/waterproof-foundation-concealer-P422454?icid2=products,TOM FORD,$87.00,11 more colors,width:87.058%
166,Double Wear Nude Water Fresh Foundation SPF 30,https://www.sephora.com/product/double-wear-nude-water-fresh-makeup-broad-spectrum-spf-30-P422278?icid2=products,Estée Lauder,$42.00,11 more colors,width:81.71799999999999%
167,Synchro Skin Lasting Liquid Foundation Broad Spectrum SPF 20,https://www.sephora.com/product/synchro-skin-lasting-liquid-foundation-broad-spectrum-spf-20-P405207?icid2=products,Shiseido,$45.00,10 more colors,width:87.124%
168,Traceless Foundation Broad Spectrum SPF 15,https://www.sephora.com/product/traceless-foundation-broad-spectrum-spf-15-P422572?icid2=products,TOM FORD,$87.00,11 more colors,width:85.218%
169,Teint Couture Blurring Foundation Balm Broad Spectrum 15,https://www.sephora.com/product/teint-couture-blurring-foundation-balm-broad-spectrum-15-P397883?icid2=products,Givenchy,$45.00,7 more colors,width:88.634%
170,Full Coverage Cream Foundation,https://www.sephora.com/product/full-coverage-cream-foundation-P400889?icid2=products,Black Up, $21.75,13 more colors,width:81.81800000000001%
171,Matifying Fluid Foundation,https://www.sephora.com/product/matifying-fluid-foundation-P400888?icid2=products,Black Up, $20.75,16 more colors,width:83.514%
172,Flash Focus Hydrating Foundation Stick,https://www.sephora.com/product/flash-focus-hydrating-foundation-stick-P407107?icid2=products,Wander Beauty,$40.00,6 more colors,width:82.474%
173,Perfectionist Youth-Infusing Serum Foundation SPF 25,https://www.sephora.com/product/perfectionist-youth-infusing-makeup-broad-spectrum-spf-25-P388014?skuId=1642834&icid2=products,Estée Lauder,$45.00 - $50.00,3 more colors,width:82.834%
174,MOISTURE BOUND Tinted Treatment Moisturizer SPF 15,https://www.sephora.com/product/moisture-bound-tinted-treatment-moisturizer-spf-15-P308302?icid2=products,AMOREPACIFIC,$70.00,3 more colors,width:84.94999999999999%
175,Surreal Skin Foundation Wand,https://www.sephora.com/product/surreal-real-skin-foundation-wand-P407377?icid2=products,surratt beauty,$65.00,14 more colors,width:81.19400000000002%
176,Marvelous Matte™ Crème Foundation,https://www.sephora.com/product/marvelous-matte-creme-foundation-P434534?icid2=products,lilah b.,$54.00,4 more colors,width:84.444%
177,Age Defense BB Cream Broad Spectrum SPF 30,https://www.sephora.com/product/age-defense-bb-cream-broad-spectrum-spf-30-P293010?icid2=products,CLINIQUE,$39.00,1 more color,width:77.246%
178,Even Better™ Glow Light Reflecting Makeup Broad Spectrum SPF 15,https://www.sephora.com/product/even-better-trade-glow-light-reflecting-makeup-broad-spectrum-spf-15-P422881?skuId=1953355&icid2=products,CLINIQUE,$29.00,23 more colors,width:89.73%
179,Camera Ready CC Cream Broad Spectrum SPF 30 Dark Spot Correcting,https://www.sephora.com/product/camera-ready-cc-cream-broad-spectrum-spf-30-dark-spot-correcting-P378614?skuId=1497007&icid2=products,Smashbox,$42.00,5 more colors,width:78.634%
180,Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50 Refill,https://www.sephora.com/product/capture-dreamskin-fresh-perfect-cushion-broad-spectrum-spf-50-refill-P435807?icid2=products,Dior,$42.00,4 more colors,width:93.846%
181,Météorites Baby Glow Sheer Liquid Foundation,https://www.sephora.com/product/meteorites-baby-glow-sheer-liquid-foundation-P394001?icid2=products,Guerlain,$54.00,2 more colors,width:85%
182,Two Way Cake,https://www.sephora.com/product/two-way-cake-P400890?skuId=1752559&icid2=products,Black Up, $19.75,7 more colors,width:84.444%
183,Traceless Perfecting Foundation Broad Spectrum SPF 15,https://www.sephora.com/product/traceless-perfecting-foundation-broad-spectrum-spf-15-P422573?icid2=products,TOM FORD,$87.00,17 more colors,width:72.592%
184,Liquid Lift Foundation,https://www.sephora.com/product/liquid-lift-foundation-P375522?icid2=products,MAKE UP FOR EVER,$44.00,12 more colors,width:84.38000000000001%
185,Lingerie de Peau Aqua Nude Foundation,https://www.sephora.com/product/lingerie-de-peau-aqua-nude-foundation-P422869?icid2=products,Guerlain,$49.00,8 more colors,width:83%
186,Marvelous Mousse Transformative OilFree Foundation,https://www.sephora.com/product/marvelous-mousse-transformative-foundation-P384920?icid2=products,Marc Jacobs Beauty,$55.00,4 more colors,width:77.188%
187,Terracotta  Healthy Glow Liquid Foundation SPF 20,https://www.sephora.com/product/terracotta-healthy-glow-liquid-foundation-spf-20-P385581?icid2=products,Guerlain,$54.00,3 more colors,width:86.95600000000002%
188,Face Glow Foundation,https://www.sephora.com/product/face-glow-foundation-P411829?icid2=products,Natasha Denona,$42.00,11 more colors,width:74.79400000000001%
189,Sheer Vivid Tinted Moisturizer SPF 20,https://www.sephora.com/product/sheer-vivid-tinted-moisturizer-spf-20-P433893?icid2=products,ILIA,$42.00,5 more colors,width:76.924%
190,Liquid Foundation Pump,https://www.sephora.com/product/liquid-foundation-pump-P433123?icid2=products,NARS,$6.00,,width:60%
191,Hydra Life BB Creme Broad Spectrum SPF 30,https://www.sephora.com/product/hydra-life-bb-creme-broad-spectrum-spf-30-P308100?icid2=products,Dior,$60.00,,width:79.216%
192,Flawless Finish Foundation,https://www.sephora.com/product/flawless-finish-foundation-P421445?icid2=products,lilah b.,$48.00,4 more colors,width:74.286%
193,Teint Infusion Ethereal Natural Finish Foundation,https://www.sephora.com/product/teint-infusion-ethereal-natural-finish-foundation-P392911?skuId=1628510&icid2=products,SEPHORA COLLECTION, $9.00,1 more color,width:80.586%
194,Tenue de Perfection Long-lasting Liquid Foundation,https://www.sephora.com/product/tenue-de-perfection-long-lasting-liquid-foundation-P383310?icid2=products,Guerlain,$63.00,2 more colors,width:77.70400000000001%
195,Certified Organic Baked Foundation,https://www.sephora.com/product/certified-organic-baked-foundation-P421435?icid2=products,Antonym,$38.00,5 more colors,width:83.226%
196,Lingerie de Peau Powder Foundation Compact,https://www.sephora.com/product/lingerie-de-peau-powder-foundation-compact-P388986?icid2=products,Guerlain,$69.00,2 more colors,width:86.47%
197,Beyond Perfecting Powder Foundation + Concealer,https://www.sephora.com/product/beyond-perfecting-powder-foundation-concealer-P426374?skuId=2021178&icid2=products,CLINIQUE,$29.00,7 more colors,width:73%
198,Ultimate Foundation 5-in-1 Pro Palette™,https://www.sephora.com/product/ultimate-foundation-5-in-1-pro-palette-P399914?icid2=products,Cinema Secrets,$36.00,5 more colors,width:81.02600000000001%
199,Cashmere - Soft Matte Foundation,https://www.sephora.com/product/cashmere-soft-matte-foundation-P399008?icid2=products,BURBERRY,$52.00,7 more colors,width:80.68199999999999%
200,DD Cream Dermatologically Defining BB Cream Broad Spectrum SPF 30,https://www.sephora.com/product/dd-cream-dermatologically-defining-bb-cream-broad-spectrum-spf-30-P381802?icid2=products,DERMAdoctor,$38.00,,width:68.572%
201,Double Wear Nude Cushion Stick Radiant Foundation,https://www.sephora.com/product/double-wear-nude-cushion-stick-radiant-makeup-P410666?icid2=products,Estée Lauder,$42.00,6 more colors,width:71.734%
202,Wonderful Cushion Foundation,https://www.sephora.com/product/wonderful-cushion-foundation-P403330?icid2=products,SEPHORA COLLECTION, $11.00,3 more colors,width:77.46000000000001%
203,Instant Radiance Sun Defense Sunscreen Broad Spectrum SPF 40,https://www.sephora.com/product/instant-radiance-sun-defense-sunscreen-broad-spectrum-spf-40-P409706?icid2=products,Dr. Dennis Gross Skincare,$42.00,1 more color,width:78.37799999999999%
204,DayWear BB Anti-Oxidant Beauty Benefit Crème SPF 35,https://www.sephora.com/product/daywear-bb-anti-oxidant-beauty-benefit-creme-spf-35-P378285?icid2=products,Estée Lauder,$42.00 - $43.00,1 more color,width:73.58399999999999%
205,Terracotta Skin Cream Powder Foundation,https://www.sephora.com/product/terracotta-skin-cream-powder-foundation-P284711?icid2=products,Guerlain,$58.00,1 more color,width:88.75%
206,Illuminating Powder Foundation,https://www.sephora.com/product/illuminating-powder-foundation-P8850?icid2=products,stila,$28.00,,width:86.96%
207,Candleglow Soft Luminous Foundation,https://www.sephora.com/product/candleglow-soft-luminous-foundation-P404721?icid2=products,Laura Mercier,$48.00,5 more colors,width:74.164%
208,Matifying Tinted Moisturizer,https://www.sephora.com/product/matifying-tinted-moisturizer-P412317?icid2=products,Black Up, $19.75,1 more color,width:88.824%
209,Chromatic Mix – Oil Base,https://www.sephora.com/product/chromatic-mix-oil-base-P400725?icid2=products,MAKE UP FOR EVER,$14.00,5 more colors,width:87.72800000000001%
210,Diorskin Nude Skin-Glowing Foundation Broad Spectrum SPF 15,https://www.sephora.com/product/diorskin-nude-skin-glowing-foundation-broad-spectrum-spf-15-P230421?icid2=products,Dior,$50.00,1 more color,width:88.33800000000001%
211,Double Wear Stay-in-Place Powder Foundation,https://www.sephora.com/product/double-wear-stay-in-place-powder-makeup-P378287?skuId=1778513&icid2=products,Estée Lauder,$42.00,1 more color,width:86.836%
212,Foundation X,https://www.sephora.com/product/foundation-x-P417352?icid2=products,Natasha Denona,$45.00,10 more colors,width:70.304%
213,Liquid BB Crème Au Ginseng Cushion Compact,https://www.sephora.com/product/liquid-bb-cr-me-au-ginseng-cushion-compact-P411366?icid2=products,Erborian, $26.00,,width:79%
214,Skin Esteem Organic Liquid Foundation,https://www.sephora.com/product/skin-esteem-organic-liquid-foundation-P425621?icid2=products,Antonym,$52.00,5 more colors,width:71%
215,Fresh Glow Compact - Luminous Foundation,https://www.sephora.com/product/fresh-glow-compact-luminous-foundation-P399003?icid2=products,BURBERRY,$52.00,,width:86.66600000000001%
216,Chubby in the Nude Foundation Stick,https://www.sephora.com/product/chubby-in-nude-foundation-stick-P404468?icid2=products,CLINIQUE,$27.00,1 more color,width:84.59199999999998%
217,Ultra HD Perfector Skin Tint Foundation SPF 25 - Mini,https://www.sephora.com/product/ultra-hd-perfector-skin-tint-foundation-spf-25-travel-size-P440050?icid2=products,MAKE UP FOR EVER,$20.00,2 more colors,width:100%
218,Bird's Nest Blurring Beauty Mousse Foundation,https://www.sephora.com/product/birds-nest-blurring-beauty-mousse-P419268?icid2=products,Pretty Vulgar,$36.00,7 more colors,width:73.68400000000001%
219,Fresh Glow Foundation Gel Stick Foundation & Concealer,https://www.sephora.com/product/fresh-glow-foundation-gel-stick-foundation-concealer-P429633?icid2=products,BURBERRY,$48.00,12 more colors,width:73.334%
220,Perfection Powder - Featherweight Foundation,https://www.sephora.com/product/perfection-powder-featherweight-foundation-P380709?skuId=1511179&icid2=products,Marc Jacobs Beauty,$46.00,1 more color,width:76.974%
221,Smooth Finish Flawless Fluide,https://www.sephora.com/product/smooth-finish-flawless-fluide-P387423?skuId=1612027&icid2=products,Laura Mercier,$48.00,1 more color,width:80.426%
222,Fresh Glow B.B. Cream Broad Spectrum 20,https://www.sephora.com/product/fresh-glow-b-b-cream-broad-spectrum-20-P399007?icid2=products,BURBERRY,$44.00,,width:77.142%
223,Chromatic Mix – Water Base,https://www.sephora.com/product/chromatic-mix-oil-base-P397683?skuId=1480821&icid2=products,MAKE UP FOR EVER,$14.00,,width:88.00000000000001%
224,Teint Idole Ultra Longwear Cushion Foundation SPF 50,https://www.sephora.com/product/teint-idole-ultra-longwear-cushion-foundation-spf-50-P410888?skuId=1846153&icid2=products,Lancôme,$47.00,2 more colors,width:80.42%
225,Teint Idole Ultra Longwear Cushion Foundation SPF 50 Refill,https://www.sephora.com/product/teint-idole-ultra-longwear-cushion-foundation-spf-50-refill-P413510?icid2=products,Lancôme,$39.00,,width:76.842%
226,Naked Skin Ultra Definition Pressed Finishing Powder,https://www.sephora.com/product/naked-skin-ultra-definition-pressed-finishing-powder-P381170?icid2=products,Urban Decay,$34.00,,width:72.218%
227,Lock-It Powder Foundation,https://www.sephora.com/product/lock-it-powder-foundation-P441024?icid2=products,Kat Von D,$36.00,25 more colors,width:0%
228,Ultra HD Invisible Cover Cream Foundation Palette,https://www.sephora.com/product/ultra-hd-invisible-cover-cream-foundation-palette-P440956?icid2=products,MAKE UP FOR EVER,$110.00,,width:0%
229,Vanish™ Seamless Finish Liquid Foundation,https://www.sephora.com/product/vanish-seamless-finish-liquid-foundation-P440458?icid2=products,Hourglass,$56.00,31 more colors,width:0%
